PRESIDENT,BIRTHDATE,BIRTHPLACE,DEATHDATE,LOCATIONOFDEATH
George Washington,1732-02-22,Westmoreland Co. Va.,1799-12-14,Mount Vernon Va.
John Adams,1735-10-30,Quincy Mass.,1826-07-04,Quincy Mass.
Thomas Jefferson,1743-04-13,Albemarle Co. Va.,1826-07-04,Albemarle Co. Va.
James Madison,1751-03-16,Port Conway Va.,1836-06-28,Orange Co. Va.
James Monroe,1758-04-28,Westmoreland Co. Va.,1831-07-04,New York New York
John Quincy Adams,1767-07-11,Quincy Mass.,1848-02-23,Washington D.C.
Andrew Jackson,1767-03-15,Lancaster Co. S.C.,1845-06-08,Nashville Tennessee
Martin Van Buren,1782-12-05,Kinderhook New York,1862-07-24,Kinderhook New York
William Henry Harrison,1773-02-09,Charles City Co. Va.,1841-04-04,Washington D.C.
John Tyler,1790-03-29,Charles City Co. Va.,1862-01-18,Richmond Va.
James K. Polk,1795-11-02,Mecklenburg Co. N.C.,1849-06-15,Nashville Tennessee
Zachary Taylor,1784-11-24,Orange County Va.,1850-07-09,Washington D.C
Millard Fillmore,1800-01-07,Cayuga Co. New York,1874-03-08,Buffalo New York
Franklin Pierce,1804-11-23,Hillsborough N.H.,1869-10-08,Concord New Hamp.
James Buchanan,1791-04-23,Cove Gap Pa.,1868-06-01,Lancaster Pa.
Abraham Lincoln,1809-02-12,LaRue Co. Kentucky,1865-04-15,Washington D.C.
Andrew Johnson,1808-12-29,Raleigh North Carolina,1875-07-31,Elizabethton Tenn.
Ulysses S. Grant,1822-04-27,Point Pleasant Ohio,1885-07-23,Wilton New York
Rutherford B. Hayes,1822-10-04,Delaware Ohio,1893-01-17,Fremont Ohio
James A. Garfield,1831-11-19,Cuyahoga Co. Ohio,1881-09-19,Elberon New Jersey
Chester Arthur,1829-10-05,Fairfield Vermont,1886-11-18,New York New York
Grover Cleveland,1837-03-18,Caldwell New Jersey,24/06/1908,Princeton New Jersey
Benjamin Harrison,1833-08-20,North Bend Ohio,13/03/1901,Indianapolis Indiana
William McKinley,1843-01-29,Niles Ohio,14/09/1901,Buffalo New York
Theodore Roosevelt,1858-10-27,New York New York,06/01/1919,Oyster Bay New York
William Howard Taft,1857-09-15,Cincinnati Ohio,08/03/1930,Washington D.C.
Woodrow Wilson,1856-12-28,Staunton Virginia,03/02/1924,Washington D.C.
Warren G. Harding,1865-11-02,Morrow County Ohio,02/08/1923,San Francisco Cal.
Calvin Coolidge,1872-07-04,Plymouth Vermont,05/01/1933,Northampton Mass.
Herbert Hoover,1874-08-10,West Branch Iowa,20/10/1964,New York New York
Franklin Roosevelt,1882-01-30,Hyde Park New York,12/04/1945,Warm Springs Georgia
Harry S. Truman,1884-05-08,Lamar Missouri,26/12/1972,Kansas City Missouri
Dwight Eisenhower,1890-10-14,Denison Texas,28/03/1969,Washington D.C.
John F. Kennedy,29/05/1917,Brookline Mass.,22/11/1963,Dallas Texas
Lyndon B. Johnson,27/08/1908,Gillespie Co. Texas,22/01/1973,Gillespie Co. Texas
Richard Nixon,09/01/1913,Yorba Linda Cal.,22/04/1994,New York New York
Gerald Ford,14/07/1913,Omaha Nebraska,26/12/2006,Rancho Mirage Cal.
Jimmy Carter,01/10/1924,Plains Georgia,,
Ronald Reagan,06/02/1911,Tampico Illinois,05/06/2004,Los Angeles Cal.
George Bush,12/06/1924,Milton Mass.,,
Bill Clinton,19/08/1946,Hope Arkansas,,
George W. Bush,06/07/1946,New Haven Conn.,,
Barack Obama,04/08/1961,Honolulu Hawaii,,
